Sum of Quantity,Year,Quarter,Month,Day,Sum of UnitPrice,Sum of CostPrice,Category,Region,total sales (SUMX),Sum of profit
1,2022,Qtr 1,February,7,1383,798,Beauty,North,1106.4,308
3,2022,Qtr 1,February,7,2107,1534,Clothing,North,4740.75,139
5,2022,Qtr 1,February,7,3315,1744,Clothing,South,12431.25,3711
7,2022,Qtr 1,February,7,1745,1357,Clothing,West,9161.25,-338
7,2022,Qtr 1,February,7,3274,2516,Home,East,21772.1,4160
4,2022,Qtr 1,February,8,1541,963,Clothing,South,4931.2,1079
3,2022,Qtr 1,February,8,2447,1631,Clothing,West,7341,2448
4,2022,Qtr 1,February,8,4463,2508,Home,East,14281.6,4250
3,2022,Qtr 1,February,10,2306,1279,Beauty,West,5188.5,1352
6,2022,Qtr 1,February,10,2017,1462,Clothing,North,9681.6,910
7,2022,Qtr 1,February,11,1750,1002,Clothing,South,11637.5,4624
4,2022,Qtr 1,February,11,3788,3204,Home,West,15152,2336
1,2022,Qtr 1,February,12,4050,2694,Beauty,South,3847.5,1154
6,2022,Qtr 1,February,12,1754,1135,Electronics,South,8945.4,2135
5,2022,Qtr 1,February,12,690,529,Grocery,South,2156.4,298
1,2022,Qtr 1,February,13,551,295,Beauty,South,495.9,201
7,2022,Qtr 1,February,13,4833,3416,Beauty,West,27064.8,3153
4,2022,Qtr 1,February,13,697,498,Electronics,North,2230.4,238
5,2022,Qtr 1,February,13,3022,1640,Grocery,East,11332.5,3133
17,2022,Qtr 1,February,13,7371,5206,Grocery,South,38832.2,9631
5,2022,Qtr 1,February,13,1207,774,Grocery,West,5129.75,1260
15,2022,Qtr 1,February,13,3579,2208,Home,South,25426.65,8564
6,2022,Qtr 1,February,13,4436,3747,Home,West,25285.2,2803
2,2022,Qtr 1,February,14,614,435,Beauty,North,982.4,112
5,2022,Qtr 1,February,14,2363,1944,Clothing,North,8861.25,-859
4,2022,Qtr 1,February,14,2936,2122,Clothing,South,11156.8,2669
8,2022,Qtr 1,February,14,2737,2304,Home,South,16422,-2010
5,2022,Qtr 1,February,15,4717,3922,Clothing,North,21226.5,1617
5,2022,Qtr 1,February,15,3440,1888,Clothing,South,15480,6040
7,2022,Qtr 1,February,15,2180,1498,Electronics,North,13734,3248
2,2022,Qtr 1,February,15,3509,1837,Home,East,5965.3,2291
7,2022,Qtr 1,February,15,6961,4834,Home,South,18884.55,2489
6,2022,Qtr 1,February,16,2196,1318,Home,South,11199.6,3292
4,2022,Qtr 1,February,16,2202,1126,Home,West,8367.6,3864
2,2022,Qtr 1,February,17,1086,647,Beauty,West,1954.8,661
5,2022,Qtr 1,February,17,629,433,Clothing,South,2516,351
9,2022,Qtr 1,February,17,2847,1746,Grocery,North,11191.2,3952
6,2022,Qtr 1,February,17,3630,2257,Grocery,South,16335,2793
4,2022,Qtr 1,February,17,3791,2999,Home,East,11373,-623
6,2022,Qtr 1,February,17,752,504,Home,North,4060.8,1037
1,2022,Qtr 1,February,18,4371,2473,Beauty,South,4371,1898
4,2022,Qtr 1,February,18,2121,1514,Clothing,South,7635.6,1580
4,2022,Qtr 1,February,18,1420,1204,Grocery,East,4544,-272
4,2022,Qtr 1,February,18,3175,1944,Grocery,North,10160,2384
14,2022,Qtr 1,February,18,4895,3061,Grocery,South,29379.35,7952
1,2022,Qtr 1,February,18,739,603,Home,South,628.15,25
8,2022,Qtr 1,February,19,1946,1550,Beauty,West,11676,-724
9,2022,Qtr 1,February,19,4821,3388,Home,South,22497,5730
8,2022,Qtr 1,February,19,1058,660,Home,West,6771.2,1491
7,2022,Qtr 1,February,20,4933,3323,Beauty,South,31077.9,7817
6,2022,Qtr 1,February,20,2667,1465,Clothing,East,15201.9,6412
4,2022,Qtr 1,February,20,2470,1814,Electronics,South,7904,648
2,2022,Qtr 1,February,21,3361,2855,Electronics,South,5377.6,-332
3,2022,Qtr 1,February,21,4918,3706,Home,South,11803.2,685
6,2022,Qtr 1,February,21,1581,1039,Home,West,7114.5,881
5,2022,Qtr 1,February,22,2563,1325,Beauty,West,11533.5,4909
6,2022,Qtr 1,February,22,433,242,Clothing,South,2078.4,626
10,2022,Qtr 1,February,22,5671,4042,Electronics,South,27504,4530
8,2022,Qtr 1,February,22,2403,1390,Home,West,17301.6,6182
8,2022,Qtr 1,February,23,3980,2865,Electronics,South,27064,4144
1,2022,Qtr 1,February,23,4008,2585,Grocery,South,3406.8,822
6,2022,Qtr 1,February,23,3719,3059,Grocery,West,4041.75,227
8,2022,Qtr 1,February,23,2894,2269,Home,North,21994.4,3842
1,2022,Qtr 1,February,23,2084,1351,Home,West,1979.8,629
5,2022,Qtr 1,February,24,4698,3018,Beauty,South,22315.5,7226
5,2022,Qtr 1,February,24,989,811,Electronics,East,3708.75,-346
8,2022,Qtr 1,February,24,1121,805,Electronics,North,7174.4,734
3,2022,Qtr 1,February,24,3932,1996,Grocery,West,10026.6,4039
5,2022,Qtr 1,February,25,2032,1484,Clothing,West,9144,1724
1,2022,Qtr 1,February,25,122,103,Electronics,South,115.9,13
6,2022,Qtr 1,February,25,2284,1575,Home,South,10278,828
3,2022,Qtr 1,February,26,318,251,Electronics,East,810.9,58
4,2022,Qtr 1,February,26,4096,2911,Grocery,North,13926.4,2282
11,2022,Qtr 1,February,27,5457,3423,Clothing,South,27926,9258
3,2022,Qtr 1,February,27,1811,1526,Electronics,East,5161.35,583
5,2022,Qtr 1,February,27,2493,1331,Electronics,North,12465,5810
6,2022,Qtr 1,February,27,5722,4111,Home,North,13996.6,4203
1,2022,Qtr 1,February,27,2576,1810,Home,South,2189.6,380
3,2022,Qtr 1,February,28,4890,3226,Beauty,North,11736,2058
7,2022,Qtr 1,February,28,4839,3088,Clothing,West,30485.7,8870
7,2022,Qtr 1,February,28,3374,2637,Electronics,South,23618,5159
5,2022,Qtr 1,February,28,1627,1100,Grocery,West,6101.25,601
4,2022,Qtr 1,March,1,1497,883,Beauty,South,4491,959
3,2022,Qtr 1,March,1,3537,2270,Electronics,East,9549.9,2740
8,2022,Qtr 1,March,1,2623,2171,Grocery,South,20984,3616
2,2022,Qtr 1,March,2,1700,1187,Beauty,West,3060,686
2,2022,Qtr 1,March,2,776,401,Clothing,North,1319.2,517
1,2022,Qtr 1,March,2,843,575,Electronics,South,800.85,226
4,2022,Qtr 1,March,2,3468,2429,Home,North,13178.4,3462
3,2022,Qtr 1,March,2,2732,2012,Home,South,6966.6,931
8,2022,Qtr 1,March,3,3675,2600,Clothing,North,29400,8600
5,2022,Qtr 1,March,3,2356,1573,Clothing,South,8835,970
8,2022,Qtr 1,March,3,2198,1405,Grocery,South,15825.6,4586
3,2022,Qtr 1,March,4,866,491,Clothing,East,2208.3,735
2,2022,Qtr 1,March,4,2514,1462,Clothing,West,3771,847
8,2022,Qtr 1,March,4,1050,749,Grocery,South,7980,1988
2,2022,Qtr 1,March,4,362,184,Grocery,West,651.6,284
3,2022,Qtr 1,March,5,1938,1269,Beauty,East,4941.9,1135
4,2022,Qtr 1,March,5,3285,2516,Grocery,South,9855,-209
2,2022,Qtr 1,March,6,3250,1668,Beauty,North,5200,1864
6,2022,Qtr 1,March,6,353,273,Clothing,South,1800.3,162
6,2022,Qtr 1,March,6,1927,1108,Clothing,West,10405.8,3758
2,2022,Qtr 1,March,6,2382,1843,Grocery,South,3811.2,125
7,2022,Qtr 1,March,6,4895,3911,Home,South,25698.75,-1678
6,2022,Qtr 1,March,7,2960,2277,Beauty,South,17760,4098
7,2022,Qtr 1,March,7,332,236,Clothing,South,1743,91
7,2022,Qtr 1,March,7,2361,1196,Grocery,East,14047.95,5676
4,2022,Qtr 1,March,8,3525,2210,Beauty,South,12690,3850
8,2022,Qtr 1,March,8,1347,790,Clothing,North,9159.6,2840
8,2022,Qtr 1,March,8,1875,1048,Clothing,South,12750,4366
3,2022,Qtr 1,March,8,3074,2282,Home,South,7838.7,993
5,2022,Qtr 1,March,8,4923,3818,Home,West,19692,602
13,2022,Qtr 1,March,9,4531,3153,Grocery,West,18392.9,5246
7,2022,Qtr 1,March,10,901,583,Clothing,North,5991.65,1911
4,2022,Qtr 1,March,10,3276,2643,Electronics,North,11793.6,1222
1,2022,Qtr 1,March,10,4631,2793,Grocery,East,4631,1838
1,2022,Qtr 1,March,10,150,110,Home,West,142.5,33
10,2022,Qtr 1,March,11,4264,3146,Clothing,South,23230.8,3823
4,2022,Qtr 1,March,11,1932,1493,Electronics,North,7728,1756
7,2022,Qtr 1,March,11,3210,2301,Home,West,17976,1869
6,2022,Qtr 1,March,13,880,705,Clothing,North,3960,-270
6,2022,Qtr 1,March,13,3097,2375,Clothing,West,15794.7,1545
8,2022,Qtr 1,March,13,3788,2896,Grocery,East,30304,7136
7,2022,Qtr 1,March,14,4111,2293,Electronics,South,21582.75,5532
2,2022,Qtr 1,March,14,4028,2983,Home,East,7653.2,1687
2,2022,Qtr 1,March,14,587,314,Home,South,939.2,311
3,2022,Qtr 1,March,15,1755,1171,Beauty,North,5265,1752
3,2022,Qtr 1,March,15,1962,1585,Beauty,West,5003.1,248
7,2022,Qtr 1,March,15,4293,2996,Grocery,South,27045.9,6074
2,2022,Qtr 1,March,15,2818,1613,Home,West,5636,2410
7,2022,Qtr 1,March,16,2390,1619,Grocery,South,13384,2051
1,2022,Qtr 1,March,16,4886,2543,Home,North,4397.4,1854
8,2022,Qtr 1,March,17,2519,1350,Home,South,16121.6,5322
6,2022,Qtr 1,March,18,1140,801,Clothing,South,6840,2034
8,2022,Qtr 1,March,18,2857,2156,Electronics,West,18284.8,1037
5,2022,Qtr 1,March,18,356,215,Home,North,1780,705
2,2022,Qtr 1,March,19,4557,2512,Beauty,North,6835.5,1812
8,2022,Qtr 1,March,19,1219,864,Home,North,8289.2,1377
2,2022,Qtr 1,March,21,3787,2189,Beauty,South,5680.5,1303
6,2022,Qtr 1,March,21,3483,2743,Grocery,North,19853.1,3395
3,2022,Qtr 1,March,21,3672,2753,Home,North,4850.4,1153
3,2022,Qtr 1,March,22,1975,1509,Clothing,West,5925,1398
5,2022,Qtr 1,March,22,4665,3436,Electronics,North,19826.25,2646
3,2022,Qtr 1,March,22,109,83,Electronics,West,294.3,45
1,2022,Qtr 1,March,22,3253,2578,Grocery,North,2602.4,24
2,2022,Qtr 1,March,22,2380,1244,Grocery,West,4522,2034
6,2022,Qtr 1,March,23,647,395,Clothing,West,2911.5,542
6,2022,Qtr 1,March,23,3111,2298,Electronics,South,18666,4878
3,2022,Qtr 1,March,23,596,472,Home,East,1519.8,104
8,2022,Qtr 1,March,24,3219,2259,Beauty,South,20601.6,2530
5,2022,Qtr 1,March,24,2181,1114,Electronics,North,10359.75,4790
4,2022,Qtr 1,March,24,730,557,Electronics,South,2336,108
4,2022,Qtr 1,March,24,4184,3493,Electronics,West,16736,2764
3,2022,Qtr 1,March,25,2543,1560,Clothing,South,6866.1,2186
5,2022,Qtr 1,March,25,4246,3320,Home,South,20168.5,3569
2,2022,Qtr 1,March,26,3601,2601,Clothing,South,6481.8,1280
2,2022,Qtr 1,March,26,3530,2535,Clothing,West,7060,1990
3,2022,Qtr 1,March,26,1844,1144,Electronics,West,4978.8,1547
3,2022,Qtr 1,March,27,3048,2318,Clothing,North,8686.8,1733
3,2022,Qtr 1,March,27,1210,983,Electronics,South,2722.5,-227
5,2022,Qtr 1,March,27,4867,2442,Home,South,24335,12125
8,2022,Qtr 1,March,28,3742,2214,Electronics,South,23948.8,6237
3,2022,Qtr 1,March,28,305,243,Grocery,East,869.25,140
5,2022,Qtr 1,March,28,183,147,Home,South,869.25,134
7,2022,Qtr 1,March,29,1788,986,Beauty,East,9387,2485
1,2022,Qtr 1,March,29,2168,1696,Beauty,West,2168,472
6,2022,Qtr 1,March,29,2209,1542,Clothing,South,11928.6,2677
5,2022,Qtr 1,March,29,134,103,Grocery,East,670,155
7,2022,Qtr 1,March,30,934,699,Clothing,East,5557.3,664
5,2022,Qtr 1,March,31,3689,2223,Clothing,East,18445,7330
4,2022,Qtr 1,March,31,2193,1794,Clothing,South,7456.2,280
8,2022,Qtr 1,March,31,1445,982,Grocery,East,10982,3126
2,2022,Qtr 2,April,1,139,98,Beauty,East,264.1,68
5,2022,Qtr 2,April,1,1775,1503,Beauty,North,8875,1360
6,2022,Qtr 2,April,1,4372,2653,Grocery,West,24920.4,9002
3,2022,Qtr 2,April,2,3476,2846,Clothing,South,7821,-717
7,2022,Qtr 2,April,2,4147,2529,Home,East,27577.55,9875
8,2022,Qtr 2,April,3,4675,2619,Beauty,South,35530,14578
4,2022,Qtr 2,April,3,4059,2721,Electronics,East,12988.8,2105
3,2022,Qtr 2,April,4,4891,3845,Home,West,14673,3138
4,2022,Qtr 2,April,5,2612,1630,Clothing,South,10448,3928
3,2022,Qtr 2,April,5,4679,3718,Home,East,11931.45,777
1,2022,Qtr 2,April,5,3095,1693,Home,West,2785.5,1093
2,2022,Qtr 2,April,6,3489,1881,Beauty,East,6978,3216
15,2022,Qtr 2,April,6,1770,1265,Clothing,North,11912,1928
1,2022,Qtr 2,April,6,2385,1729,Clothing,South,2385,656
6,2022,Qtr 2,April,7,1295,880,Clothing,East,6216,936
3,2022,Qtr 2,April,7,1679,917,Electronics,East,4785.15,2034
5,2022,Qtr 2,April,7,4402,2580,Grocery,East,8227.3,3289
5,2022,Qtr 2,April,8,3007,2093,Clothing,West,13531.5,3067
8,2022,Qtr 2,April,9,2794,2010,Clothing,South,4317.9,808
3,2022,Qtr 2,April,9,393,317,Electronics,East,884.25,-67
4,2022,Qtr 2,April,9,2138,1439,Electronics,North,8124.4,2368
3,2022,Qtr 2,April,9,4970,3442,Grocery,South,12673.5,2348
7,2022,Qtr 2,April,10,1050,748,Home,North,6615,1379
2,2022,Qtr 2,April,10,1717,981,Home,South,2918.9,957
1,2022,Qtr 2,April,11,4816,2558,Home,South,4334.4,1776
5,2022,Qtr 2,April,12,1435,873,Beauty,South,6816.25,2451
7,2022,Qtr 2,April,12,1038,519,Clothing,East,6539.4,2906
1,2022,Qtr 2,April,12,4357,3357,Grocery,South,3703.45,346
1,2022,Qtr 2,April,13,4480,2579,Electronics,North,4480,1901
2,2022,Qtr 2,April,13,749,548,Grocery,South,1123.5,28
4,2022,Qtr 2,April,13,4401,2388,Home,South,14083.2,4531
2,2022,Qtr 2,April,14,3479,2173,Beauty,East,6262.2,1916
8,2022,Qtr 2,April,14,1918,1237,Beauty,South,13042.4,3146
9,2022,Qtr 2,April,14,6117,4524,Grocery,East,19129,4911
4,2022,Qtr 2,April,14,3700,3053,Home,East,14800,2588
8,2022,Qtr 2,April,14,2042,1554,Home,South,13885.6,1454
5,2022,Qtr 2,April,15,337,192,Electronics,East,1685,725
1,2022,Qtr 2,April,15,1359,881,Grocery,South,1155.15,274
7,2022,Qtr 2,April,16,1874,1346,Clothing,South,11806.2,2384
4,2022,Qtr 2,April,16,3886,2178,Electronics,South,12435.2,3723
14,2022,Qtr 2,April,17,6847,4439,Beauty,North,36673.8,7594
1,2022,Qtr 2,April,17,2657,1842,Clothing,South,2258.45,416
3,2022,Qtr 2,April,17,2004,1334,Electronics,West,5711.4,1709
6,2022,Qtr 2,April,17,3616,2275,Grocery,East,17356.8,3707
5,2022,Qtr 2,April,17,792,477,Grocery,West,3960,1575
8,2022,Qtr 2,April,17,726,425,Home,South,4936.8,1537
2,2022,Qtr 2,April,18,1464,1015,Clothing,North,2928,898
5,2022,Qtr 2,April,18,2644,1519,Electronics,West,11898,4303
3,2022,Qtr 2,April,18,1870,1189,Grocery,North,5610,2043
2,2022,Qtr 2,April,19,3099,1743,Beauty,South,5578.2,2092
5,2022,Qtr 2,April,19,3940,3060,Clothing,East,15760,460
8,2022,Qtr 2,April,19,4164,2483,Clothing,North,29980.8,10117
3,2022,Qtr 2,April,19,2514,1530,Grocery,North,5656.5,1067
2,2022,Qtr 2,April,19,2828,1946,Grocery,West,4524.8,633
3,2022,Qtr 2,April,19,3317,1729,Home,South,7960.799999999999,2774
6,2022,Qtr 2,April,20,4205,2406,Beauty,East,20184,5748
2,2022,Qtr 2,April,20,3335,2085,Beauty,West,6336.5,2167
7,2022,Qtr 2,April,20,3968,2895,Clothing,North,20832,567
5,2022,Qtr 2,April,20,6083,4546,Electronics,North,15604.05,2031
14,2022,Qtr 2,April,20,5572,4414,Grocery,South,31525.8,-442
2,2022,Qtr 2,April,20,3129,2248,Home,East,4693.5,198
4,2022,Qtr 2,April,21,961,738,Beauty,East,3844,892
5,2022,Qtr 2,April,22,1596,1284,Beauty,West,6783,363
2,2022,Qtr 2,April,22,3435,1995,Clothing,West,6183,2193
8,2022,Qtr 2,April,22,4792,2539,Home,South,38336,18024
5,2022,Qtr 2,April,22,3593,2088,Home,West,16168.5,5729
1,2022,Qtr 2,April,23,3670,2797,Beauty,South,3486.5,690
3,2022,Qtr 2,April,23,3890,1978,Home,South,11086.5,5153
8,2022,Qtr 2,April,24,3496,2132,Beauty,West,23772.8,6717
1,2022,Qtr 2,April,24,2635,1889,Electronics,East,2371.5,483
8,2022,Qtr 2,April,24,870,724,Electronics,North,5220,-572
8,2022,Qtr 2,April,24,3975,2929,Electronics,West,14222.8,3797
2,2022,Qtr 2,April,24,3301,2624,Grocery,South,4951.5,-297
1,2022,Qtr 2,April,24,4012,3301,Home,East,3009,-292
6,2022,Qtr 2,April,24,1451,1071,Home,West,7400.1,974
6,2022,Qtr 2,April,25,3706,2742,Clothing,East,20012.4,3560
3,2022,Qtr 2,April,25,374,280,Electronics,East,1065.9,226
18,2022,Qtr 2,April,25,10654,6507,Grocery,East,55329,18699
8,2022,Qtr 2,April,25,3426,2843,Home,East,27408,4664
9,2022,Qtr 2,April,25,3092,1816,Home,South,9414,4002
4,2022,Qtr 2,April,26,1772,1330,Clothing,South,7088,1768
6,2022,Qtr 2,April,26,2326,1216,Clothing,West,13258.2,5962
2,2022,Qtr 2,April,26,289,181,Home,West,520.2,158
6,2022,Qtr 2,April,27,2268,1350,Clothing,South,10206,2106
2,2022,Qtr 2,April,27,1346,882,Electronics,East,2692,928
2,2022,Qtr 2,April,27,4295,2897,Home,East,8160.5,2367
8,2022,Qtr 2,April,28,2054,1641,Clothing,East,16432,3304
4,2022,Qtr 2,April,28,927,546,Clothing,South,3522.6,1339
5,2022,Qtr 2,April,28,1505,881,Grocery,South,5643.75,1239
2,2022,Qtr 2,April,28,4613,3777,Grocery,West,8764.7,1211
4,2022,Qtr 2,April,28,3966,2481,Home,South,14277.6,4354
2,2022,Qtr 2,April,29,1638,823,Beauty,West,2620.8,975
7,2022,Qtr 2,April,29,2367,1814,Clothing,East,14912.1,2214
7,2022,Qtr 2,April,29,2697,1743,Grocery,West,14159.25,1958
3,2022,Qtr 2,April,29,2222,1342,Home,West,6332.7,2307
5,2022,Qtr 2,April,30,2555,1656,Beauty,South,9581.25,1301
7,2022,Qtr 2,May,1,3760,3192,Beauty,North,25004,2660
3,2022,Qtr 2,May,1,1834,1041,Clothing,East,4126.5,1004
5,2022,Qtr 2,May,1,1833,1288,Home,South,9165,2725
